10 46,2 53,7 51,5 46,2 52,1 50,5 
20 44,0 53,2 53,7 47,2 52,1 49,9 
30 42,9 52,6 53,7 47,2 52,6 51,0 
40 42,9 52,6 54,2 46,7 52,6 51,0 
50 42,9 52,6 53,7 47,2 52,6 51,5 
60 42,9 52,6 53,7 46,7 52,6 51,5 
70 42,9 52,6 53,7 46,7 53,2 51,0 
80 42,4 53,2 53,7 46,2 52,6 51,5 
90 42,4 53,2 53,7 46,2 52,6 51,5 
100 41,9 52,1 53,2 46,2 52,6 51,5 
110 42,9 52,6 53,7 47,2 52,6 51,5 
120 42,9 52,6 53,7 46,7 53,2 51,5 
130 42,9 52,6 53,2 47,2 53,2 51,5 
140 42,9 52,1 52,6 46,2 52,1 51,0 
150 42,4 53,2 53,7 46,2 52,6 51,5 
160 42,9 53,2 53,7 46,7 52,6 51,5 
170 42,9 53,2 53,2 46,7 52,6 51,5 
180 41,9 53,2 53,7 46,2 53,2 51,5 
190 42,9 52,6 53,7 46,2 53,2 51,5 
200 42,9 52,6 53,7 46,2 52,6 51,5 
210 42,9 52,6 53,7 47,2 52,6 51,5 
220 42,9 52,6 54,2 46,2 52,6 51,5 
230 42,9 52,6 53,2 46,2 52,6 51,5 
240 42,4 52,6 53,7 46,2 52,6 50,5 
250 42,9 52,1 53,7 46,2 52,6 50,5 
260 42,9 52,1 53,7 46,2 52,6 50,5 
270 41,9 52,6 53,7 46,2 52,1 50,5 
280 42,4 52,1 53,7 46,2 52,1 50,5 
290 42,4 52,1 52,6 46,7 52,1 50,5 
300 42,4 51,5 53,2 45,6 52,1 50,5 
310 42,4 51,5 53,2 46,2 52,1 49,9 
320 42,9 51,5 53,2 46,2 52,1 51,0 
330 42,4 52,1 52,6 46,2 52,1 50,5 
340 41,9 52,6 52,6 46,7 52,1 49,9 
350 41,9 51,5 53,2 46,2 51,5 50,5 
360 41,9 51,5 53,2 45,6 51,5 49,9 
370 42,9 51,5 53,2 45,6 52,1 50,5 
380 41,9 52,1 53,2 46,2 51,5 50,5 
390 41,9 52,1 52,6 46,2 52,1 50,5 
400 41,9 52,1 53,2 46,2 51,5 50,5 
410 41,9 52,1 52,6 46,2 51,5 50,5 
420 42,4 52,1 52,6 46,2 51,5 50,5 
430 41,9 51,5 52,6 46,2 51,5 50,5 
440 41,9 51,5 52,6 45,6 51,5 50,5 
450 41,9 52,1 52,6 45,6 52,1 49,9 
460 42,9 52,1 53,2 46,2 51,5 49,9 
470 42,4 51,5 53,2 45,1 51,5 49,9 
480 41,9 51,5 52,6 45,6 52,1 50,5 
490 41,9 51,5 52,6 45,6 51,5 49,4 
500 42,4 52,1 53,2 45,6 51,5 50,5 
510 41,9 51,5 52,6 46,2 51,5 50,5 
520 42,4 51,5 52,6 45,6 51,5 50,5 
530 42,9 51,5 53,7 45,6 51,5 50,5 
540 41,9 52,1 53,2 46,2 52,1 49,9 
550 42,4 52,1 52,6 45,6 51,5 50,5 
560 41,9 52,1 52,6 45,1 52,1 50,5 
570 41,9 51,5 52,6 45,6 51,5 50,5 
580 42,4 52,1 52,6 46,2 51,5 50,5 
590 41,9 52,1 53,2 45,6 51,5 49,9 
600 42,4 52,1 53,2 46,2 51,5 49,9 
610 42,4 52,1 53,2 46,2 51,5 50,5 
620 42,9 52,1 52,6 45,6 51,5 50,5 
630 42,9 52,1 52,6 45,6 51,5 50,5 
640 41,9 51,5 52,6 46,2 52,1 50,5 
650 41,9 51,5 52,6 45,6 51,5 49,9 
660 42,4 51,5 52,6 46,2 51,5 50,5 
670 41,9 51,5 52,6 46,2 51,5 50,5 
680 41,9 52,1 52,6 45,6 52,1 49,9 
690 41,9 51,5 52,6 45,6 51,5 50,5 
700 41,9 52,1 52,6 45,1 51,5 50,5 
710 41,9 51,5 52,6 46,2 51,5 50,5 
720 41,9 51,5 52,6 45,6 51,5 49,9 
730 41,9 51,5 52,6 46,2 51,5 50,5 
740 41,9 51,5 53,2 45,6 51,5 50,5 
750 42,4 51,5 52,6 45,6 52,1 49,9 
760 41,9 51,5 52,6 45,6 51,5 49,4 
770 41,9 51,5 52,6 46,2 51,5 49,9 
780 41,9 51,5 53,2 45,1 51,5 49,4 
790 41,9 51,5 53,2 46,2 51,5 50,5 
800 42,9 51,5 52,6 45,6 51,5 49,4 
810 41,3 52,1 52,6 45,6 51,5 50,5 
820 41,9 51,5 52,6 45,6 51,5 50,5 
830 41,9 51,0 52,6 45,6 51,0 49,9 
840 41,9 51,5 52,6 45,1 52,1 49,9 
850 41,9 51,5 52,6 46,2 51,5 50,5 
860 41,9 51,5 52,6 45,1 51,5 49,9 
870 41,9 51,5 52,6 45,1 52,1 49,4 
880 41,9 51,5 52,6 45,1 51,5 49,4 
890 41,9 51,5 52,6 45,1 51,5 49,4 
900 41,9 51,5 53,2 45,1 51,5 49,9 
910 42,4 50,5 52,6 45,1 52,1 49,9 
920 41,9 51,5 52,6 46,2 51,5 50,5 
930 41,9 51,5 52,6 45,6 51,5 50,5 
940 42,4 51,0 52,6 45,1 51,5 49,9 
950 41,9 51,5 52,6 45,1 51,5 49,9 
960 41,9 51,5 52,6 46,2 51,5 50,5 
970 41,9 51,5 52,6 45,6 51,5 49,9 
980 42,4 51,0 52,6 45,1 51,5 49,9 
990 41,3 51,5 52,6 45,1 51,5 49,9 
1000 41,9 51,0 52,6 45,1 51,5 49,4 
1010 41,9 51,5 52,6 45,6 51,5 49,9 
1020 41,9 51,5 52,6 46,2 51,5 49,4 
1030 41,9 51,0 52,1 45,6 51,0 49,9 
1040 41,9 51,5 52,6 45,1 51,5 49,9 
1050 42,4 51,5 52,6 45,1 51,5 49,4 
1060 41,3 51,5 52,6 45,6 51,5 49,9 
1070 41,9 51,5 52,6 45,6 52,1 49,4 
1080 41,9 51,5 52,6 45,6 51,5 49,4 
1090 41,3 51,5 52,6 45,1 50,5 49,9 
1100 41,9 51,5 52,6 45,1 51,5 49,9 
1110 41,9 51,5 52,6 45,1 51,0 49,9 
1120 41,9 51,5 52,1 45,6 52,1 49,4 
1130 41,3 51,5 52,6 45,6 51,5 49,4 
1140 41,9 51,0 52,6 45,1 51,5 49,9 
1150 41,9 51,0 52,6 45,1 51,5 49,9 
1160 41,3 51,5 52,6 45,6 51,5 49,4 
1170 41,9 51,5 52,6 45,6 51,5 49,9 
1180 41,9 51,5 52,1 45,1 51,5 49,9 
1190 41,9 51,5 52,1 45,1 51,5 49,9 
1200 41,9 51,5 52,1 45,1 51,5 49,9 
1210 41,9 51,5 52,6 45,1 51,5 49,9 
1220 41,9 51,5 52,1 45,6 51,5 49,4 
1230 41,9 51,5 52,6 45,1 51,5 49,4 
1240 41,3 51,5 52,1 45,1 51,0 49,4 
1250 41,9 50,5 52,6 45,1 50,5 49,4 
1260 41,3 51,5 52,6 45,6 50,5 49,9 
1270 41,3 51,0 52,1 45,6 51,0 49,4 
1280 41,9 51,5 52,6 45,1 51,5 50,5 
1290 41,9 51,5 52,6 45,6 51,5 49,9 
1300 41,3 51,0 52,6 45,1 50,5 49,4 
1310 41,3 50,5 52,6 45,1 51,5 49,4 
1320 41,9 51,0 52,6 45,1 51,0 49,4 
1330 41,9 51,5 52,6 45,1 50,5 49,9 
1340 41,3 51,5 52,6 45,6 51,5 49,9 
1350 41,9 51,5 52,6 45,6 51,5 49,9 
1360 41,3 51,0 52,1 45,1 50,5 49,4 
1370 41,3 51,5 52,1 45,6 51,5 49,9 
1380 41,9 50,5 52,6 45,1 51,5 49,4 
1390 41,9 50,5 52,6 45,1 51,0 49,4 
1400 41,9 51,0 52,6 45,6 51,0 49,4 
1410 42,4 51,0 52,6 45,6 50,5 49,4 
1420 41,9 51,0 52,6 45,6 51,0 49,4 
1430 41,9 51,5 52,1 45,1 51,0 49,9 
1440 41,9 51,0 52,6 45,6 50,5 49,4 
1450 41,9 51,0 52,1 45,1 51,0 49,4 
1460 41,9 51,5 52,6 45,1 51,0 49,4 
1470 41,9 51,0 52,6 45,1 51,5 49,4 
1480 41,3 51,5 52,6 45,6 51,5 49,9 
1490 41,3 51,5 52,1 45,1 51,5 49,4 
1500 41,3 51,5 52,1 45,1 51,5 49,9 
1510 41,3 51,0 52,6 45,1 51,5 49,4 
1520 41,9 51,0 52,6 45,6 51,5 49,4 
1530 41,9 51,5 52,6 45,1 51,5 49,4 
1540 41,3 50,5 52,6 45,1 51,0 49,4 
1550 41,9 51,5 52,6 45,1 50,5 49,9 
1560 41,3 51,5 52,6 45,1 51,5 49,4 
1570 41,9 51,0 52,6 45,1 50,5 49,4 
1580 41,3 51,5 52,6 45,1 51,5 49,4 
1590 41,9 51,5 52,6 45,1 51,0 49,4 
1600 41,9 51,5 52,6 45,1 51,0 49,9 
1610 41,3 51,0 52,6 45,1 51,0 49,4 
1620 41,9 51,5 52,1 45,1 50,5 49,4 
1630 41,9 51,0 52,6 45,6 51,5 49,4 
1640 41,3 51,5 52,1 45,1 50,5 49,4 
1650 41,3 50,5 52,1 45,1 51,0 49,9 
1660 41,9 51,5 52,1 45,1 51,5 49,4 
1670 41,9 51,0 52,1 45,1 51,0 49,4 
1680 41,3 51,5 52,6 45,1 51,5 49,9 
1690 41,9 51,5 52,1 46,2 51,5 49,4 
1700 41,9 51,5 52,1 45,1 51,0 49,4 
1710 41,3 51,5 52,6 45,1 51,5 49,4 
1720 41,3 51,5 52,6 45,1 51,0 49,4 
1730 41,3 51,5 52,6 45,6 51,5 49,9 
1740 41,3 51,0 52,6 45,6 51,5 49,4 
1750 41,9 51,5 52,6 45,1 51,5 49,4 
1760 41,3 51,0 52,1 45,6 51,0 49,4 
1770 41,3 50,5 52,1 45,1 50,5 49,9 
1780 41,9 51,0 52,1 45,1 51,0 49,4 
1790 41,9 50,5 52,6 45,6 51,5 49,4 
1800 41,9 51,5 52,1 45,1 51,0 49,4 
1810 41,9 51,0 52,1 45,1 51,5 49,4 
1820 41,3 50,5 52,6 45,1 50,5 49,4 
1830 41,9 51,5 52,6 45,1 51,5 49,4 
1840 41,9 51,5 52,6 45,1 50,5 49,4 
1850 41,3 51,5 52,1 45,6 51,0 49,4 
1860 41,3 51,0 52,6 45,6 51,0 49,4 
1870 41,3 51,5 52,6 45,6 51,5 49,9 
1880 41,3 50,5 52,6 45,6 51,5 49,4 
1890 41,3 51,5 52,1 45,1 51,5 49,4 
1900 41,3 51,5 52,1 45,1 51,5 49,4 
1910 40,8 51,0 52,1 45,1 50,5 49,9 
1920 41,9 51,0 52,1 45,6 51,0 49,4 
1930 41,3 51,5 52,1 45,6 51,5 49,4 
1940 41,9 51,0 52,1 45,1 50,5 49,4 
1950 41,3 51,0 52,6 45,6 50,5 49,4 
1960 41,3 51,0 52,1 45,1 51,5 49,4 
1970 40,8 50,5 52,1 45,1 51,5 49,4 
1980 41,3 50,5 51,5 45,1 51,5 49,4 
1990 41,3 51,0 52,1 45,1 50,5 49,4 
2000 41,9 51,0 52,1 45,1 50,5 48,9 
2010 41,9 50,5 52,6 45,6 51,5 49,9 
2020 41,9 51,0 52,1 45,1 50,5 49,4 
2030 41,9 51,0 52,6 45,1 51,0 49,4 
2040 41,9 51,5 52,1 45,1 51,0 49,4 
2050 41,9 50,5 52,6 45,6 51,5 49,4 
2060 41,3 50,5 52,6 45,1 51,0 49,4 
2070 40,8 50,5 51,5 45,1 51,5 49,4 
2080 41,3 51,5 52,6 45,6 51,0 49,4 
2090 40,8 51,0 52,1 45,1 50,5 49,4 
2100 41,9 51,0 52,6 45,1 51,5 49,4 
2110 41,3 51,5 52,1 45,1 50,5 49,4 
2120 40,8 50,5 52,1 45,1 50,5 49,4 
2130 40,8 50,5 52,1 45,1 51,5 49,9 
2140 41,3 51,5 52,6 45,1 51,0 49,4 
2150 41,3 51,0 52,1 45,1 50,5 49,4 
2160 41,9 50,5 52,1 45,6 50,5 49,4 
2170 40,8 51,0 52,1 46,2 51,5 49,4 
2180 41,3 51,0 52,1 45,1 50,5 49,4 
2190 41,9 51,5 52,6 45,6 51,0 49,4 
2200 41,3 51,0 52,1 45,1 50,5 49,4 
2210 41,3 51,0 52,1 45,1 50,5 49,4 
2220 41,9 50,5 52,6 45,1 51,0 49,4 
2230 41,9 50,5 52,6 45,1 50,5 49,4 
2240 40,8 51,5 51,5 45,1 50,5 49,9 
2250 40,8 51,0 52,1 45,1 50,5 49,4 
2260 41,3 51,5 52,6 45,1 51,5 49,4 
2270 40,8 51,5 52,6 45,1 50,5 49,4 
2280 41,3 51,0 52,1 45,1 51,0 49,4 
2290 41,9 50,5 52,1 45,1 51,5 49,9 
2300 40,8 51,5 52,6 45,1 51,5 49,4 
2310 41,3 51,5 52,6 45,1 50,5 49,4 
2320 41,3 51,0 52,6 45,6 51,0 49,4 
2330 41,3 51,0 51,5 45,6 50,5 49,4 
2340 40,8 51,5 52,1 45,1 50,5 49,4 
2350 41,3 51,0 51,5 45,6 51,0 49,4 
2360 41,3 50,5 52,1 45,1 51,5 49,4 
2370 40,8 51,0 51,5 45,1 51,0 49,4 
2380 41,3 50,5 52,1 45,1 51,5 49,4 
2390 41,3 51,0 52,1 45,1 51,0 49,4 
2400 41,3 50,5 52,6 45,1 50,5 49,4 
2410 41,3 51,5 52,1 45,1 51,5 49,4 
2420 41,3 51,0 52,1 45,1 50,5 49,4 
2430 41,3 50,5 52,1 45,1 50,5 49,4 
2440 41,3 51,0 52,1 45,6 51,0 49,4 
2450 41,3 51,5 52,1 45,1 51,5 49,4 
